name,location,cuisines,highlights,cost_for_two,rating,budget_bucket
The London Shakes,BTM,"Beverages, Fast Food, Italian",,400.0,,low
Biriyani Zone,Whitefield,"Biryani, North Indian, Chinese, Seafood","Plain Rice, Hyderabadi Biryani, Panneer Butter Masala, Mutton Biryani, Tandoori Chicken, Chicken Boneless Biryani, Vegetable Biryani",800.0,3.9,medium
Laddoos,Jeevan Bhima Nagar,"North Indian, Street Food, Mithai","Paratha, Panipuri, Puri Sabzi, Rasgulla, Rasmalai, Pav Bhaji, Samosa Chaat",250.0,2.9,low
24th Main,JP Nagar,"North Indian, South Indian, Chinese","Carrot Halwa, Paneer Satay, Manchow Soup, Gajar Ka Halwa, Butter Naan, Mocktails, Tandoori Mushrooms",800.0,,medium
Sangam Sweets,Marathahalli,"Mithai, Street Food",,200.0,,low
Udupi Ruchi,Banashankari,"South Indian, North Indian, Chinese, Street Food",,200.0,3.9,low
Cafe Alchemist,BTM,"Fast Food, Juices",,300.0,3.8,low
Thirsty Tiger,JP Nagar,"Continental, Finger Food",,1300.0,3.5,medium
Amaravati Grand,BTM,"Chinese, Andhra, Mangalorean",,550.0,3.4,low
Hyderabad Biryani,Whitefield,"North Indian, Chinese, Biryani","Hyderabadi Biryani, Mutton Biryani",600.0,3.2,medium
Karama Restaurant,Koramangala 5th Block,"Arabian, North Indian, Beverages","Mutton Mandi, Laccha Paratha, Chicken Curry, Tawa Chicken, Rabri, Raan, Biryani",750.0,4.1,medium
Mahesh Lunch Home,Residency Road,"Seafood, Mangalorean, North Indian, Chinese","Sea Food, Neer Dosa, Crab Ghee Roast, Jumbo Prawns, Thali, Crab Butter, Crab Masala",1400.0,4.1,medium
Hungry Stone,Koramangala 5th Block,"North Indian, Chinese, Italian, Thai",,300.0,,low
OMG Biriyani,BTM,"Biryani, Andhra, Chinese",,600.0,3.4,medium
Lil Asia,Banaswadi,"Chinese, Thai, Nepalese, Tibetan",,350.0,3.3,low
Dilli6 Paratha,HSR,"North Indian, Chinese",,200.0,3.0,low
Keventers,Basaveshwara Nagar,"Beverages, Desserts, Ice Cream",,400.0,3.7,low
Dad's Coffee Club,Residency Road,"North Indian, South American, Cafe",,200.0,,low
Great Indian Rolls,Basavanagudi,Rolls,,100.0,3.3,low
Dev's Gugababa,BTM,"Bengali, North Indian, Chinese","Fish, Rasmalai, Doi Katla, Aalo Bhaja, Bhetki Paturi, Chicken Kasha, Aloo Posto",500.0,3.5,low
V20,Electronic City,"North Indian, Continental",,300.0,,low
Skinz Ooty Chocolate,Koramangala 8th Block,Desserts,,200.0,,low
Peppy Peppers,Banashankari,"Italian, North Indian, Mexican","Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup",800.0,4.2,medium
Coastal Paradise Family Restaurant,Wilson Garden,"North Indian, Chinese, Seafood",,450.0,,low
Cakewala,JP Nagar,"Bakery, Desserts","Brownie, Veg Puff, Chocolate Truffle, Chocolava, Choco Truffle, Chocolate Cake",500.0,4.1,low
Onesta,JP Nagar,"Pizza, Cafe, Italian","Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza",600.0,4.4,medium
HQ,Whitefield,"North Indian, Italian, Finger Food, Continental","Mocktails, Pizza, Crispy Chicken, Beer, Nachos, Masala Peanuts, Onion Rings",1000.0,4.1,medium
Raat Ki Rani,Jeevan Bhima Nagar,"Fast Food, North Indian","Paratha, Kheer, Burgers, Ghee Rice, Rolls, Veg Burger, White Sauce Pasta",400.0,4.3,low
Grigliato,HSR,"Italian, Chinese, Continental, Steak","Beer, Steak, Burgers, Fritters, Caramel Custard, Pasta Alfredo, Pizza",1000.0,3.9,medium
Paani Kum Chai,JP Nagar,"Beverages, Fast Food",,200.0,4.0,low
Chocolate Bomb,BTM,Bakery,,300.0,,low
Kettle & Kegs,Cunningham Road,"Tea, Beverages",,200.0,,low
Royal Tea House,Shivajinagar,North Indian,,100.0,,low
Brews N Bites,Jayanagar,"Chinese, Fast Food, Cafe","Coffee, Cappuccino",650.0,2.9,medium
Akshaya Bar And Restaurant,Koramangala 1st Block,"North Indian, South Indian, Chinese, Fast Food",,600.0,,medium
Parika Multicuisine Restaurant,Richmond Road,"North Indian, Chinese, Mughlai","Tandoori Chicken, Kheer, Chicken Tikka, Butter Naan, Sweet Lassi, Caramel Custard, Panipuri",1200.0,3.8,medium
Bathinda Junction,Koramangala 5th Block,North Indian,"Butter Chicken, Kadhai Murgh, Rajma Chawal, Kadhai Paneer, Makke Ki Roti, Sweet Lassi, Dal Makhani",600.0,4.1,medium
Navaneetha,Koramangala 8th Block,"Andhra, Chinese",,350.0,3.3,low
Vera Italiano,Kalyan Nagar,Italian,"Pasta, Tiramisu, Tomato Soup, Carbonara, Chicken Lasagne, Strawberry Cheesecake, Salad",600.0,4.1,medium
Madiha Biryani House,Electronic City,"Biryani, North Indian, Beverages",,450.0,3.4,low
Taste Buds,New BEL Road,"South Indian, Kerala, North Indian",,200.0,,low
Sapfresh,Marathahalli,Beverages,,150.0,,low
ANTIGRAVITY,Marathahalli,"Continental, North Indian, Chinese, BBQ","Cocktails, Peri Peri Chicken, Beer, Pasta, Nachos, Pizza, Potato Mash",1500.0,4.4,high
DinePost9,Marathahalli,"North Indian, South Indian, Chinese, Continental","Chicken Manchurian, Biryani, Chicken Butter Masala, Tandoori Chicken, Paneer Curry, Dal Fry, Gulab Jamun",450.0,3.8,low
Al-Marhaba Restaurant,BTM,"Arabian, Chinese, North Indian, Rolls, Momos",,400.0,,low
Smoke House Deli,Lavelle Road,"European, Italian, Desserts, Salad, Juices, Steak","Cocktails, Burgers, Salads, Veg Burger, Peri Chicken, Pasta Alfredo, Hazelnut Mousse Flan",1600.0,4.6,high
Squeez Juice Bars,Bannerghatta Road,"Ice Cream, Juices",,250.0,3.1,low
Shree Ganesh Fruit Juice Centre,Indiranagar,Juices,,80.0,,low
The little Kitchen,JP Nagar,"Chinese, North Indian",,300.0,3.3,low
Basavanagudi Mylari,Basavanagudi,South Indian,"Coffee, Idli, Masala Dosa, Sagu Dosa, Kesari Bath, Kharabath, Plain Dosa",300.0,4.0,low
Cold Stone Creamery,Whitefield,"Ice Cream, Desserts","Chocolate Devotion, Pomegranate Sorbet, Waffles, Brownie, Apple Pie, Cheesecake Ice Cream, Coffee",400.0,4.3,low
Bottle Genie,JP Nagar,Beverages,,250.0,,low
Five Star Chicken,Bellandur,"Fast Food, Burger",,200.0,3.4,low
Desi Rasoi,Jayanagar,"Biryani, North Indian, Chinese, Rajasthani","Hara Bhara Kebab, Lunch Buffet, Naan, Babycorn Manchurian, Malai Kofta, Noodles, Gulab Jamun",600.0,3.8,medium
Baskin Robbins,Brigade Road,"Ice Cream, Desserts",,250.0,3.7,low
Artinci Artisanal Ice Cream,Bellandur,"Ice Cream, Desserts",,300.0,,low
Malabar Bay,BTM,"Kerala, Seafood, Chinese, Biryani, Juices","Panneer Butter Masala, Chicken Tikka, Mutton Curry, Paneer Tikka, Appam, Roast Chicken, Kerala Parotta",800.0,4.2,medium
Keto Kitchen,Koramangala 7th Block,"Healthy Food, Pizza, Italian, South Indian, North Indian",,500.0,3.5,low
Aligarh House,Koramangala,"North Indian, Biryani, Awadhi, Mughlai","Raita, Muradabadi Biryani",400.0,4.4,low
Just Bake,Rajajinagar,Bakery,,400.0,,low
Best Brews - Four Points by Sheraton Bengaluru...,Whitefield,Continental,,1500.0,3.6,high
Sub Spot,Koramangala 6th Block,"Salad, Sandwich",,400.0,3.3,low
Peace Restaurant,Shanti Nagar,"Chinese, Tibetan, North Indian","Thukpa, Hakka Noodles",500.0,2.8,low
Seasons,Bannerghatta Road,"North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices","Biryani, Sea Food, Egg Masala, Barbeque Chicken, Fish Grill, Appam, Raita",,3.8,high
My Tea House,Banashankari,"Continental, Asian, North Indian, Tea",,500.0,,low
Ammi's Biryani,Indiranagar,"Biryani, North Indian","Seekh Kebab, Hyderabadi Biryani, Vegetable Biryani, Chicken Biryani, Raita, Kheer, Egg Biryani",350.0,2.7,low
Church Street Social,Church Street,"American, North Indian, Chinese, Finger Food, Momos","Paneer Biryani, Cocktails, Mocktails, Nachos, Taco Soup, Pork Ribs, Hot Dog",1500.0,4.3,high
Amrutha Mess,BTM,Kerala,,300.0,3.4,low
Imperial Restaurant,Shivajinagar,"North Indian, Chinese, Biryani, Kebab, Juices","Biryani, Shawarma, Ghee Rice, Chicken Grill, Sulemani Chai, Chicken Manchurian, Methi Murg",800.0,2.9,medium
Fish Factory-Citrus Hotel,Cunningham Road,Seafood,,2600.0,3.9,high
The Ganache Factory,Domlur,"Desserts, Bakery","Cheesecake, Key Lime Pie",400.0,4.1,low
Gowdara Naati Mane,Residency Road,"South Indian, Biryani, Mangalorean",,500.0,3.4,low
Mudpipe Cafe,BTM,"Cafe, Continental, Burger","Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta",900.0,4.5,medium
Faasos,Residency Road,"North Indian, Biryani, Fast Food","Rolls, Veggie Wrap, Chicken Wrap, Paneer Wrap, Chole, Dal Makhani, Jal-jeera",500.0,3.9,low
Hotel Akshaya Restaurant,JP Nagar,"Biryani, Kebab",,400.0,,low
IceBreakers,Church Street,"Desserts, Ice Cream","Waffles, Ice Cream Roll, Brownie Fudge, Chocolate Icecreams",400.0,4.3,low
Meghana Foods,Koramangala 5th Block,"Biryani, Seafood, Andhra, North Indian","Chicken Boneless Biryani, Egg Curry, Andhra Biryani, Hyderabadi Biryani, Paneer Biryani, Buttermilk, Sea Food",600.0,4.4,medium
Dreams Cafe - All Day English Food St.,Koramangala 1st Block,"Cafe, Continental, Burger","English Breakfast, Coffee, Burgers, Fish, Omelette, Sandwiches, Chicken Burger",600.0,3.8,medium
The Rich Crust,Sahakara Nagar,"Cafe, European, Continental",,600.0,3.8,medium
Being Healthy,Koramangala 6th Block,Healthy Food,,300.0,,low
Regal Cafe,BTM,"Street Food, Juices",,200.0,,low
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Secret Alley,Indiranagar,"Fast Food, Cafe","Burgers, Pasta, Chicken Wings, Chicken Popcorn, Chicken Burger, Cheese Corn Balls",450.0,4.0,low
Aadvik Nightfood,Frazer Town,Fast Food,,350.0,3.6,low
Chai Point,Electronic City,"Tea, Beverages, Fast Food",,250.0,3.9,low
Big Fat Brownie,HSR,"Bakery, Sandwich",,400.0,,low
Scoops N Smiles,Rajajinagar,"Desserts, Sandwich, Pizza, Burger",,200.0,3.3,low
Chin Lung Resto Bar,Residency Road,"North Indian, Chinese, Fast Food","Masala Peanuts, Beer, Chicken Lollipop, Pepper Chicken, Chilli Chicken, French Fries, Egg Bhurji",1000.0,3.9,medium
Cafe Monarch Luxur,Infantry Road,"North Indian, South Indian, Chinese, Fast Food",,800.0,3.8,medium
2nd Home Restaurant,BTM,"South Indian, North Indian, Chinese",,500.0,3.7,low
Yum's The Word!,Koramangala 4th Block,Chinese,,200.0,,low
The Biryani Paradise,Richmond Road,"Biryani, South Indian",,350.0,3.8,low
Venkateshwara Sweets and Restaurant,JP Nagar,"South Indian, Mithai, Chinese, North Indian",,400.0,3.6,low
Subham Pal Kitchen,Koramangala 1st Block,"North Indian, Chinese",,300.0,3.3,low
Sagar Deluxe,Jeevan Bhima Nagar,"South Indian, North Indian, Chinese","Idli Vada, Masala Dosa, Filter Coffee, Curd Rice",350.0,3.4,low
Fresh Kitchen,Bannerghatta Road,"North Indian, Chinese",,600.0,3.3,medium
Flavour of China,BTM,Chinese,"Spring Roll, Chilli Chicken, Chowmein, Sweet Corn Chicken Soup, Dragon Chicken, Hakka Noodles, Chop Suey",600.0,3.8,medium
New Tandoor Fusion,Kaggadasapura,"North Indian, Chinese",,350.0,3.1,low
Food & Friends,Rajajinagar,"Fast Food, Street Food",,200.0,3.0,low
Mr. Cane,Marathahalli,Juices,,100.0,,low
Brigade Paradise Hotel,Brigade Road,"Chinese, Fast Food, Rolls",,400.0,,low
Kamat Minerva,Basavanagudi,"South Indian, North Indian, Chinese","Butter Naan, Buttermilk, Jowar Roti, Panneer Butter Masala",300.0,2.6,low
Twilight Global Restaurant,Kalyan Nagar,"North Indian, Chinese",,600.0,3.5,medium
Lucknowi Dabba,Koramangala 1st Block,"Mughlai, Chinese, North Indian",,300.0,3.7,low
Maiyas,Jayanagar,"North Indian, South Indian, Fast Food, Juices","Coffee, Thali, Kharabath, Masala Dosa, Idli Vada, Vanilla Ice Cream, Bisi Bele Bhaath",200.0,4.0,low
Cafe Graffiters,Koramangala 5th Block,"Cafe, Continental, Beverages",,600.0,3.8,medium
Hara Fine Dine,Banashankari,"North Indian, Chinese","Hara Bhara Kabab, Crispy Corn, Patiala Paneer, Panneer Butter Masala, Dum Biryani, Jal-jeera, Butter Naan",800.0,4.0,medium
Classic Shop,BTM,"Beverages, Juices",,150.0,3.8,low
Feel The Taste,Hennur,Fast Food,,300.0,,low
New Udupi Upahar,Marathahalli,"Chinese, North Indian, South Indian",,300.0,3.8,low
Bhagini Kitchen And Bar,Marathahalli,"Andhra, South Indian, Chinese, North Indian",Biryani,1100.0,3.8,medium
Subz,Jayanagar,"North Indian, South Indian","Veg Buffet, Pasta, Salads, Rasmalai, Chaat, Biryani, Fries",1000.0,4.2,medium
New Udupi Grand,HSR,"South Indian, North Indian, Chinese, Street Food",,250.0,3.7,low
Lazeez Xpress,Vasanth Nagar,"North Indian, Mughlai, Biryani",,650.0,3.4,medium
The Mylapore Cafe,HSR,"South Indian, Kerala","Masala Dosa, Pongal, Filter Coffee, Tea, Idli",200.0,4.1,low
Golden Oak - La Marvella Sarovar Premiere Hotel,Jayanagar,"North Indian, Continental, Chinese, South Indian","Salads, Tiramisu, Rasmalai, Biryani, Lunch Buffet, Roti, Chaat",1000.0,3.9,medium
Peppermill Bistro,New BEL Road,"Continental, European, Mediterranean, Cafe, Steak","Pasta, Pizza, Mojito, Nachos, Lamb, Fries, Orange Juice",1000.0,4.0,medium
Eat Well,JP Nagar,"North Indian, Chinese",,400.0,2.9,low
Mayas kitchen,Whitefield,"South Indian, Chinese, Chettinad",,,,high
The Chocolate Heaven,Commercial Street,"Desserts, Cafe",,600.0,,medium
Amber Rush Restobar,Residency Road,"Continental, Chinese, Fast Food","Cocktails, Pizza, Fries, Wings, Mango Phirni, Fish Grill",1000.0,4.1,medium
Kick Out the Jams,Ejipura,"Burger, American, Italian","Burgers, Pizza, Bacon Burger, Wings, Cheesecake, Chicken Burger, Pepperoni",350.0,4.0,low
Tuba Rolls & Snacks,Electronic City,"Chinese, Fast Food, North Indian, Rolls",,200.0,3.0,low
Deja Vu Resto Bar,Bannerghatta Road,"North Indian, Italian","Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta",900.0,4.4,medium
Choco Monk,BTM,Desserts,,200.0,,low
Mustard Food Court,Koramangala 3rd Block,"North Indian, Chinese","Chicken Biryani, Chicken Wings, Chicken Curry, Kadhai Paneer, Butter Chicken, Noodles, Vegetable Biryani",500.0,3.6,low
Juiced Burger,South Bangalore,Burger,,750.0,3.5,medium
Petoo,Electronic City,"North Indian, Fast Food, Street Food","Biryani, Chaat",400.0,3.6,low
Ahmed's Little Hut,BTM,Fast Food,,250.0,,low
Snaiksa Foods,HSR,"North Indian, South Indian",,300.0,,low
Flavours Inn,New BEL Road,"Kerala, North Indian, Chinese","Sea Food, Malabar Fish Curry",500.0,3.7,low
Bahar Cafe,Marathahalli,"Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian","Chicken Biryani, Hyderabadi Biryani, Butter Naan, Vegetable Biryani, Ulvacharu Biryani, Mutton Biryani, Raita",750.0,4.0,medium
Mangalore Pearl,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani","Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish",650.0,3.8,medium
Enerjuvate Studio & Cafe,Koramangala 4th Block,"Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages","Pizza, Healthy Breakfast, Momos, Enchiladas, Aloo Papdi Chaat, Coffee, Tea",800.0,4.4,medium
Gelato Italiano,Ulsoor,"Ice Cream, Bakery, Desserts",,200.0,2.9,low
Wok And Rolls,Koramangala 1st Block,"Chinese, Thai",,300.0,,low
Donne Biriyani Mane,Banaswadi,Biryani,"Pepper Chicken, Donne Biryani, Chicken Biryani, Chicken Kebab",300.0,3.8,low
Chaatimes,Basavanagudi,"Street Food, Fast Food","Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri",200.0,3.8,low
Grandma's Recipe,Sarjapur Road,"Biryani, Kebab, Kerala","Chicken Biryani, Fish Curry",400.0,3.9,low
Indian Dhaba,HSR,"North Indian, Chinese",,450.0,3.3,low
Aha Juice Bar,BTM,"Beverages, Fast Food",,200.0,3.6,low
Seven Ate Nine,HSR,"North Indian, Steak, South Indian",,700.0,,medium
Amrit,JP Nagar,"North Indian, Seafood",,600.0,3.4,medium
Kritunga Restaurant,Brookefield,"Andhra, Biryani, North Indian, Chinese","Bhindi Fry, Paneer Biryani, Bamboo Chicken, Vegetable Biryani, Mushroom Biryani, Sweet Corn Soup, Butter Naan",650.0,2.9,medium
Maa'r Rannaghor,JP Nagar,"Bengali, Chinese",,400.0,3.8,low
The Jungle Terrace,Brigade Road,"Continental, Mexican, Lebanese",,600.0,3.5,medium
Foody's Land,Koramangala 4th Block,Fast Food,,300.0,,low
Savi Sagar,Rajajinagar,"North Indian, South Indian, Chinese",,350.0,4.1,low
Asha Tiffins,HSR,South Indian,"Vada, Masala Dosa, Kharabath, Filter Coffee, Kesari Bath, Idli Sambar",150.0,4.3,low
Mast Biryani - Fresh Indian Kitchen,Bellandur,"Biryani, North Indian, Mughlai, Fast Food",,500.0,3.2,low
Stars 'N' Stripes,MG Road,"North Indian, Chinese, Fast Food","Burgers, Biryani",500.0,2.7,low
Pizza Hut,Old Airport Road,"Pizza, Fast Food","Pasta, Pepperoni, Supreme Pizza, Garlic Bread Stick, Masala Lemonade",750.0,3.7,medium
Eagles Pizza,Kalyan Nagar,"Pizza, Italian",,650.0,3.8,medium
